aud,review,date,rate,neg,neu,pos,compound,,,,count,,
Jorge M,"As a MCU film is an entertaining trip around the new world of Tom Holland's Spider-Man, using the same formula of this universe franchise. It has great moments like the ferry scene and the plane scene, and that plot twist is so tense and shocking. The vulture is an excellent villain, his background is one of the most envelopment in all the Marvel Cinematic Universe as a concept, but not really like a visual spectacle, maybe just at the end. As a Spider-Man film is the less styling of all, it has a lot of changes that loses all the background of the character, you can't really empathize with Spider-Man, because this changes move us out of our comfort zone to take us to an awkward and inconvenient zone. The editing and the cinematography feels so weird and frantic and not to mention that the script is full of conveniences. - RATING - As a MCU film = 8/10 As a Spider-Man film = 6/10",14-Dec-21,3,0.132,0.783,0.085,-0.8073,,,,,,
Cameron C,"A good movie where Sony and Marvel realize that the origin story of Spiderman was used up too much and made a ""younger"", not responsible, reckless, kid. This is amazing acting by both Tom and the man the myth! Beetlejuice! Michael Keaton play Adrian Toomes and Peter finds his way to becoming a real hero.",11-Dec-21,3,0.031,0.724,0.245,0.9271,,,,,,
Jean L,"Spiderman Homecoming is the MCU reboot of Spiderman starring British actor Tom Holland as the webslinger. This reboot does much better than the Andrew Garfield one. Marc Webb here with the help of Kevin Feige of Marvel bring Spiderman which is owned by Sony into the Marvel Cinematic universe in a standalone film that is fun and exciting although not always as inventive. Hollands Spidey is different from the previous ones in that he is younger with a baby face giving spiderman more of a childish portrayal but not in a bad way. He is paired with up and comer Jacob Batalon who is there as Ned who is Peter's best friend serving as comic relief. Zendaya stars as an MJ who is totally different from the iconic portrayal since in here she is black, blunt, kind of a nerd, and full of insults. This shows that once again Spiderman is rebooted and is reinvented so it feels new and mostly it works with a script that's full of soul and good humor. Michael Keaton as the Vulture is great as Keaton always delivers satisfying performances and his villain is grounded. Finally Robert Downey Jrs small role as Iron Man and Peter's mentor serves really well to anchor this new spider man in his new role as an avenger. Is filled with great action, cool scenes, great humor, and a childlike spirit that makes it worthy of the spiderman legacy and a good beginning for this iteration of the character.",10-Dec-21,3,0.057,0.703,0.24,0.9954,,,,,,
Marcos V,"The movie is cool, but I expected more.",9-Dec-21,3,0,0.784,0.216,0.1655,,,,,,
Wiz D,damn good teen comedy ft Spiderman 8.5/10,6-Dec-21,3,0.223,0.331,0.446,0.4019,,,,,,
Julian T,One of the funniest and most enjoyable marvel movies that approaches this character in a new intresting way.,5-Dec-21,3,0,0.688,0.312,0.7778,,,,,,
Aenna G,Thats not a super hero movie but its funny,3-Dec-21,3,0.313,0.388,0.299,0.2059,,,,,,
Nicholas S,The most boring Spider-Man movie,28-Nov-21,4,0.393,0.607,0,-0.3804,,,,,,
Oneli Q,"Amazing movie, Excellent entertainment",26-Nov-21,4,0,0.088,0.912,0.8834,,,,,,
Aidan B,its ok. watch it. dont expect to much its more of a plot thing,16-Nov-21,4,0,0.845,0.155,0.296,,,,,,
Idro S,"Where this film succeeds is in its rich story. Tom Holland does very well in his portrayal of both Spiderman and Peter Parker, and the villain, played by Michael Keaton, is one of the more memorable villains in the MCU. However, the main issue I have with this film is that Spiderman never feels like his own hero, just like Tony Stark's shadow, up until the end of course. Even the villain, however, doesn't even have any conflict with Peter, he just feels like a villain that would fight against the Avengers, or more specifically, Tony Stark. I feel like the film relied too much on Tony Stark and never came out of his shadow. The film in general, however, was still fun to watch and it's one that I've seen several times, it's just that there are a few issues that I have with it.",15-Nov-21,4,0.167,0.725,0.107,-0.8528,,,,,,
open b,worst spiderman movie ever,12-Nov-21,4,0.577,0.423,0,-0.6249,,,,,,
Joshua P,The second Spiderman reboot is a smashing success! Tom Holland gives a new personality to an already beloved superhero. The heist aspect of this movie is a brilliant addition. The movie is a consistent great watch that started a killer run for Marvel Studios in the lead up to Infinity War,7-Nov-21,3.5,0.129,0.631,0.24,0.7901,,,,,,
Justin A,Tom is a good spiderman but yep I get why people refer to him as iron boy.stroy could have been better,6-Nov-21,3.5,0,0.65,0.35,0.8225,,,,,,
Strummer R,"My favourite Spider-Man movie. Tom Holland's version of the hero is the most human between the main trio (him, Tobey Maguire and Andrew Garfield). He's a real teenager: anxious, acts by impulse, he's the Spider-Man who most want to be a hero. Most people complain that Tony Stark replaced Uncle Ben in MCU. I completely disagree. When Peter met Tony he already was Spider-Man by around six months. Uncle Ben has already died and Stark was someone who gave Peter a purpose. His turnaround sentence is the best I saw in a Spider-Man movie. But a Spider-Man movie isn't only made of Spider-Man. We have Peter Parker's arc outside the suit as well. And it's excellent. The high school environment looks like a high school environment (the best friend, the bully, the crush, the cynical, everyone is here and they're great characters) and Tom Holland is the most charismatic and trustworthy Peter Parker (as a teenager, he looks and acts like one) and his chemistry with Laura Harrier (Liz) is undeniably cute. Finally, Vulture is an excellent villain: he's imposing, has a motivation that makes sense, and despite not having Spider-Man as a direct enemy, is a person who is next to Peter and had the superhero interfering in his plans. My only issue with this movie is Aunt May, who is constantly treated like a MILF, and that joke is the only one that is repetitive and never works. It's sad because Marisa Tomei is a good actress and has the perfect age-looking for the role.",28-Oct-21,3.5,0.109,0.656,0.235,0.9924,,,,,,
Ohmohm P,I thoroughly enjoy this movie and I find it very watchable. I like Michael Keaton. 8/10,10-Oct-21,3.5,0,0.637,0.363,0.7408,,,,,,
Anthony L,"One of the most Overrated movie ever. How this movie so high rated ? well Marvel fans are blinded as usual ""Cringe and stupid"" are the best words to describe this movie,",1-Oct-21,3.5,0.09,0.738,0.173,0.4877,,,,,,
Luis Z,A Peter Parker that actually feels like a high schooler is a refreshing experience.,1-Oct-21,3.5,0,0.8,0.2,0.3612,,,,,,
Mikhail P,"Hey, this is horrible.",17-Sep-21,4.5,0.538,0.462,0,-0.5423,,,,,,
Marco B,"Spider-Man finally gets a full length MCU treatment in this (sort-of) reboot to the franchise. Tom Holland is probably the most accurate portrayal of our young hero, Peter Parker, as he deals with the after math of working with Iron Man's Avengers (see Civil War). Peter is an easy-going fun loving kid who wants the girl, to impress Tony Stark, and to be popular. The positive in this film is that it is a real coming of age tale with a kid trying to deal with being a kid. Even our villain, The Vulture, is excellently played by (my favourite Batman) Michael Keaton, who has less of a plan and is just plain greedy. This film suffered from a lack of consequences as Peter has nothing really to lose, only his potential position in the Avengers, which isn't that big a deal. The other problem with this film is it can't decide whether it's a teen flick, action movie, coming of age tale or an origin story. Because of this, the plot and pacing can be off at times, but the acting makes up for this as Spidey really shines through.",16-Sep-21,4.5,0.058,0.846,0.096,0.7566,,,,,,
Conor P,"My personal/Most rewatchable Spider-Man movie to date. Of course that's not putting down the brilliant Spider-Man 2 from Sam Rami, however this movie is the one I gravitate towards when wanting to put on a Spider-Man film. The Amazing cast really helps push the movie to a higher level with 'Tom Holland' playing Peter Parker/Spider-Man this is the first time I actually believed the actor could actually be in high school whereas former iterations who looked in there mid 20s. Tom Holland to me plays both Spider-Man & Peter brilliantly with Michael Keaton also doing a superb job as the movies villain 'The Vulture' Michael manages to make you feel bad and understand the character one moment then makes you fear him the next, You have to give props to the actor when his powerless character is threatening a superhuman and you are actually worried for the latter. I would 100% recommend this film to any superhero/Spidey fan but I would also recommend this film to casual fans at it is just simply a good & awesome movie.",13-Sep-21,4.5,0.075,0.754,0.171,0.9552,,,,,,
